section,table_name,name,details
00_EXTENSION,pg_stat_statements,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.11"", ""description"": ""track planning and execution statistics of all SQL statements executed"", ""relocatable"": true}"
00_EXTENSION,pgcrypto,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.3"", ""description"": ""cryptographic functions"", ""relocatable"": true}"
00_EXTENSION,plpgsql,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""pg_catalog"", ""version"": ""1.0"", ""description"": ""PL/pgSQL procedural language"", ""relocatable"": false}"
00_EXTENSION,supabase_vault,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""vault"", ""version"": ""0.3.1"", ""description"": ""Supabase Vault Extension"", ""relocatable"": false}"
00_EXTENSION,uuid-ossp,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.1"", ""description"": ""generate universally unique identifiers (UUIDs)"", ""relocatable"": true}"
01_ENUM,wallet_transaction_status,definition,"{""oid"": ""21344"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""pending"", ""completed"", ""failed"", ""reversed""], ""value_count"": 4}"
01_ENUM,wallet_transaction_type,definition,"{""oid"": ""21324"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""trip_earning"", ""trip_payment"", ""withdrawal"", ""withdrawal_refund"", ""top_up"", ""refund"", ""bonus"", ""penalty"", ""adjustment""], ""value_count"": 9}"
01_ENUM,withdrawal_method,definition,"{""oid"": ""21368"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""bank_transfer"", ""vodafone_cash"", ""instapay"", ""orange_money""], ""value_count"": 4}"
01_ENUM,withdrawal_status,definition,"{""oid"": ""21354"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""pending"", ""approved"", ""processing"", ""completed"", ""rejected"", ""cancelled""], ""value_count"": 6}"
05_COLUMN,admin_logs,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,complaints,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,coupon_usages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,coupons,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_locations,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -1.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_revision_requests,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_wallets,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,drivers_profile,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.5000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,messages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,messages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,notifications,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,pricing_config,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,ratings,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,support_messages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,trip_offers,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.1583, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,trips,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -0.0752, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,user_coupons,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,user_presence,user_id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -1.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,user_wallets,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,users,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.3929, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
